### Footprint positions - created on 2026-01-20T22:12:35-0800 ###
### Printed by KiCad version 9.0.7-9.0.7~ubuntu24.04.1
## Unit = inches, Angle = deg.
## Side : bottom
# Ref     Val                 Package                                           PosX       PosY       Rot  Side
R42       20k-1%-0805         R_0805_2012Metric_Pad1.20x1.40mm_HandSolder     8.6800    -3.2250    0.0000  bottom
R43       20k-1%-0805         R_0805_2012Metric_Pad1.20x1.40mm_HandSolder     8.6800    -3.3050    0.0000  bottom
R44       1.50k-1%-0805       R_0805_2012Metric_Pad1.20x1.40mm_HandSolder     8.6250    -6.7274  -90.0000  bottom
R45       100k-1%-0805        R_0805_2012Metric_Pad1.20x1.40mm_HandSolder     8.5928    -3.7850    0.0000  bottom
R46       100k-1%-0805        R_0805_2012Metric_Pad1.20x1.40mm_HandSolder     8.5928    -3.9450    0.0000  bottom
R47       100k-1%-0805        R_0805_2012Metric_Pad1.20x1.40mm_HandSolder     8.5930    -4.0830    0.0000  bottom
R48       100k-1%-0805        R_0805_2012Metric_Pad1.20x1.40mm_HandSolder     8.5930    -4.2430    0.0000  bottom
R49       10k-1%-0805         R_0805_2012Metric_Pad1.20x1.40mm_HandSolder     8.5450    -6.7274   90.0000  bottom
R50       10k-1%-0805         R_0805_2012Metric_Pad1.20x1.40mm_HandSolder     8.4050    -6.7274   90.0000  bottom
R51       20k-1%-0805         R_0805_2012Metric_Pad1.20x1.40mm_HandSolder     8.3310    -5.6900    0.0000  bottom
R52       20k-1%-0805         R_0805_2012Metric_Pad1.20x1.40mm_HandSolder     8.3310    -5.7700  180.0000  bottom
R53       10k-1%-0805         R_0805_2012Metric_Pad1.20x1.40mm_HandSolder     8.3310    -5.8500    0.0000  bottom
R54       1.50k-1%-0805       R_0805_2012Metric_Pad1.20x1.40mm_HandSolder     8.3250    -6.7274  -90.0000  bottom
R55       1.50k-1%-0805       R_0805_2012Metric_Pad1.20x1.40mm_HandSolder     8.1750    -3.9050    0.0000  bottom
R56       10k-1%-0805         R_0805_2012Metric_Pad1.20x1.40mm_HandSolder     8.1050    -6.7274   90.0000  bottom
R57       1.50k-1%-0805       R_0805_2012Metric_Pad1.20x1.40mm_HandSolder     8.0250    -6.7274  -90.0000  bottom
R58       100k-1%-0805        R_0805_2012Metric_Pad1.20x1.40mm_HandSolder     7.9720    -5.4980  -90.0000  bottom
