### Footprint positions - created on 2025-12-27T11:39:36-0800 ###
### Printed by KiCad version 9.0.6-9.0.6~ubuntu24.04.1
## Unit = inches, Angle = deg.
## Side : top
# Ref     Val                  Package                                                PosX       PosY       Rot  Side
A101      RaspberryPi_Pico2    RaspberryPi_Pico_Common_Unspecified                  8.0250    -3.7750    0.0000  top
D209      B4                   LED_1206_3216Metric                                  4.4315    -7.8939    0.0000  top
D210      B12                  LED_1206_3216Metric                                  4.4315    -8.0273    0.0000  top
D211      B5                   LED_1206_3216Metric                                  4.4315    -8.1608    0.0000  top
D212      B13                  LED_1206_3216Metric                                  4.4315    -8.2943    0.0000  top
D213      B6                   LED_1206_3216Metric                                  4.6539    -7.6269    0.0000  top
D214      B14                  LED_1206_3216Metric                                  4.6539    -7.7604    0.0000  top
D215      B7                   LED_1206_3216Metric                                  4.6539    -7.8939    0.0000  top
D216      B15                  LED_1206_3216Metric                                  4.6539    -8.0273    0.0000  top
D401      S1B                  D_SMA                                                8.3000     2.7333    0.0000  top
D402      S1B                  D_SMA                                                8.3000     2.5541    0.0000  top
D403      S1B                  D_SMA                                                8.3000     2.3750    0.0000  top
D404      5.6V                 SOT-23-3                                             8.5596     2.7352    0.0000  top
D405      5.6V                 SOT-23-3                                             8.5596     2.5600    0.0000  top
D406      5.6V                 SOT-23-3                                             8.5596     2.3848    0.0000  top
D407      S1B                  D_SMA                                                8.3000     2.1959    0.0000  top
FID101    Fiducial             Fiducial_Cross_1.5mm_Mask2mm                        10.9555    -1.8852    0.0000  top
FID102    Fiducial             Fiducial_Cross_1.5mm_Mask2mm                        10.9555    -2.0250    0.0000  top
FID103    Fiducial             Fiducial_Cross_1.5mm_Mask2mm                        11.0952    -1.8852    0.0000  top
FID104    Fiducial             Fiducial_Cross_1.5mm_Mask2mm                        11.0952    -2.0250    0.0000  top
FID105    Fiducial             Fiducial_Cross_1.5mm_Mask2mm                        11.2350    -1.8852    0.0000  top
FID106    Fiducial             Fiducial_Cross_1.5mm_Mask2mm                        11.2350    -2.0250    0.0000  top
J101      DC_IN                Molex-70543-0001                                     8.9500    -5.7594   90.0000  top
J102      BATT                 Molex-70543-0001                                     8.9500    -5.4594   90.0000  top
J103      CAN                  Molex-70543-0001                                     8.9500    -5.1594   90.0000  top
J104      CAN                  Molex-70543-0001                                     8.9500    -4.8594   90.0000  top
J201      B0                   Molex-70543-0001                                     7.1028    -4.4598  -90.0000  top
J202      B1                   Molex-70543-0001                                     7.1028    -4.7598  -90.0000  top
J203      B2                   Molex-70543-0001                                     7.1028    -5.0598  -90.0000  top
J204      B3                   Molex-70543-0001                                     7.1028    -5.3598  -90.0000  top
J205      B4                   Molex-70543-0001                                     7.1028    -5.6598  -90.0000  top
J206      B5                   Molex-70543-0001                                     7.1028    -5.9598  -90.0000  top
J207      B6                   Molex-70543-0001                                     7.1000    -6.2594  -90.0000  top
J208      B7                   Molex-70543-0001                                     7.1000    -6.5594  -90.0000  top
J209      B8                   Molex-70543-0001                                     7.3750    -6.9500    0.0000  top
J210      B9                   Molex-70543-0001                                     7.6750    -6.9500    0.0000  top
J211      B10                  Molex-70543-0001                                     7.9750    -6.9500    0.0000  top
J212      B11                  Molex-70543-0001                                     8.2750    -6.9500    0.0000  top
J213      B12                  Molex-70543-0001                                     8.5750    -6.9500    0.0000  top
J214      B13                  Molex-70543-0001                                     8.9500    -6.6594   90.0000  top
J215      B14                  Molex-70543-0001                                     8.9500    -6.3594   90.0000  top
J216      B15                  Molex-70543-0001                                     8.9500    -6.0594   90.0000  top
J301      XY1-L                Molex_PicoBlade_53047-0610_1x06_P1.25mm_Vertical     9.0179    -4.0730   90.0000  top
J302      XY0-R                Molex_PicoBlade_53047-0610_1x06_P1.25mm_Vertical     9.0179    -4.5176   90.0000  top
J501      ID                   Molex-70543-0003                                     7.4250    -2.9000   90.0000  top
J601      ENC0                 Molex-70543-0039                                     8.9500    -3.5750  -90.0000  top
J602      ENC1                 Molex-70543-0039                                     7.1028    -3.2598   90.0000  top
J603      ENC2                 Molex-70543-0039                                     7.1028    -3.8598   90.0000  top
J604      ENC_PWR              PinHeader_1x03_P2.54mm_Vertical                      8.6800    -2.8300    0.0000  top
L301      10uH-10%-500mA-0805  L_0805_2012Metric_Pad1.05x1.20mm_HandSolder         10.3322    -3.6396    0.0000  top
L302      10uH-10%-500mA-0805  L_0805_2012Metric_Pad1.05x1.20mm_HandSolder         10.3322    -3.7478    0.0000  top
L401      5.6_uH-20%-3.4A      Cyntec-MS6-Inductor                                  8.5941     1.8654    0.0000  top
Q401      BSS123               SOT-23                                               8.9289     2.7352    0.0000  top
Q402      BSS123               SOT-23                                               8.9289     2.5600    0.0000  top
R101      1.50k-1%-0805        R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          9.2356    -3.9750    0.0000  top
R201      1.50k-1%-0805        R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          2.8142    -8.0450    0.0000  top
R202      1.50k-1%-0805        R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          2.8142    -8.1612    0.0000  top
R203      1.50k-1%-0805        R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          2.8142    -8.2773    0.0000  top
R204      1.50k-1%-0805        R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          2.8142    -8.3935    0.0000  top
R205      1.50k-1%-0805        R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          2.8142    -8.5096    0.0000  top
R206      1.50k-1%-0805        R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          2.8142    -8.6257    0.0000  top
R207      1.50k-1%-0805        R_0805_2012Metric_Pad1.20x1.40mm_HandSolder          2.8142    -8.7419    0.0000  top
