### Footprint positions - created on 2026-08-14T19:52:59 ###
### Printed by KiCad version 10.0.5-10.0.5~ubuntu24.04.1
## Unit = inches, Angle = deg.
## Side : bottom
# Ref     Val                    Package                                                       PosX       PosY       Rot  Side
Q9        CSD19534Q5A            TI-SON5x6                                                   7.0950    -5.3976  -90.0000  bottom
R1        1K-1%-0603             R_0603_1608Metric                                           8.9268    -4.2701    0.0000  bottom
R2        1K-1%-0603             R_0603_1608Metric                                           8.9268    -4.3301    0.0000  bottom
R3        357K-1%-0603           R_0603_1608Metric                                           6.6218    -4.3367    0.0000  bottom
R4        13K-1%-0603            R_0603_1608Metric                                           8.9268    -4.3901    0.0000  bottom
R5        20K-1%-0603            R_0603_1608Metric                                           6.6218    -4.3967  180.0000  bottom
R6        5.9k-1%-0603           R_0603_1608Metric                                           6.6218    -4.4567    0.0000  bottom
R7        100R-1%-0603           R_0603_1608Metric                                           7.1918    -4.4667  180.0000  bottom
R8        100R-1%-0603           R_0603_1608Metric                                           7.1918    -4.5267    0.0000  bottom
R9        1M-1%-0603             R_0603_1608Metric                                           8.9159    -4.5382  180.0000  bottom
R10       0R-1%-0603             R_0603_1608Metric                                           7.1918    -4.6467    0.0000  bottom
R11       13K-1%-0603            R_0603_1608Metric                                           9.1950    -4.7461  -90.0000  bottom
R12       93.1k-1%-0603          R_0603_1608Metric                                           9.0258    -4.7461  -90.0000  bottom
R13       0R-1%-0603             R_0603_1608Metric                                           7.1918    -4.7667    0.0000  bottom
R14       10mOhm-3W-1%-2512      R_2512_6332Metric                                           7.3742    -4.8117   90.0000  bottom
R15       13K-1%-0603            R_0603_1608Metric                                           6.6218    -4.8167  180.0000  bottom
R16       205K-1%-0603           R_0603_1608Metric                                           6.6218    -4.8767  180.0000  bottom
R17       2K-1%-0603             R_0603_1608Metric                                           6.6218    -4.9367    0.0000  bottom
R18       0R-1%-0603             R_0603_1608Metric                                           7.1928    -4.9477    0.0000  bottom
R19       93.1k-1%-0603          R_0603_1608Metric                                           6.8718    -5.0567    0.0000  bottom
R20       10R0-1%-0603           R_0603_1608Metric                                           6.6218    -5.0567    0.0000  bottom
R21       249K-1%-0603           R_0603_1608Metric                                           6.8718    -5.1167  180.0000  bottom
R22       0R-1%-0603             R_0603_1608Metric                                           7.1928    -5.1277    0.0000  bottom
R23       2K-1%-0603             R_0603_1608Metric                                           6.6218    -5.2067  180.0000  bottom
R24       5.1k-1%-0603           R_0603_1608Metric                                           7.9238    -5.4894    0.0000  bottom
R25       5.1k-1%-0603           R_0603_1608Metric                                           7.9238    -5.6094    0.0000  bottom
U1        LM74700QDBVRQ1         SOT-23-6                                                    7.4600    -3.8700    0.0000  bottom
U2        TPS613222ADBV          SOT-23-5                                                    8.9259    -3.9660  180.0000  bottom
U3        STM32G431CBTx          LQFP-48_7x7mm_P0.5mm                                        9.2150    -4.4600    0.0000  bottom
U4        LM5176PWPR             HTSSOP-28-1EP_4.4x9.7mm_P0.65mm_EP3.4x9.5mm_ThermalVias     6.9118    -4.7816    0.0000  bottom
U5        ISO6721BDR             SOIC-8_3.9x4.9mm_P1.27mm                                    8.2280    -5.0430   90.0000  bottom
U6        FT232RNL               SSOP-28_5.3x10.2mm_P0.65mm                                  8.2278    -5.4304  180.0000  bottom
U7        LM74700QDBVRQ1         SOT-23-6                                                    6.8720    -5.4517    0.0000  bottom
U8        TJA1051T/3/1J          SO-8_3.9x4.9mm_P1.27mm                                      9.3050    -5.5650    0.0000  bottom
## End
