Designator,Mid X,Mid Y,Rotation,Layer
C1,189.5296,-102.277,180.0,top
C10,194.6096,-138.599,0.0,top
C11,186.5636,-98.298,270.0,bottom
C12,201.93,-99.06,270.0,bottom
C13,223.441311,-100.7364,270.0,bottom
C14,194.6096,-102.277,180.0,bottom
C15,189.5296,-102.277,0.0,bottom
C16,226.743311,-103.5812,180.0,bottom
C17,226.743311,-105.6132,180.0,bottom
C18,194.6096,-105.833,180.0,bottom
C19,189.5296,-105.833,0.0,bottom
C2,189.5296,-105.833,180.0,top
C20,237.534,-106.3405,90.0,bottom
C21,236.01,-106.3405,90.0,bottom
C22,234.486,-106.3405,90.0,bottom
C23,194.6096,-109.389,180.0,bottom
C24,189.5296,-109.389,0.0,bottom
C25,226.7404,-113.0331,0.0,bottom
C26,168.1936,-114.723,0.0,bottom
C27,179.6236,-114.977,0.0,bottom
C28,168.1936,-116.247,0.0,bottom
C29,182.6716,-116.501,0.0,bottom
C3,194.6096,-105.833,0.0,top
C30,226.4644,-117.3011,180.0,bottom
C31,168.1936,-117.771,0.0,bottom
C32,238.2466,-118.7227,270.0,bottom
C33,168.1936,-119.295,0.0,bottom
C34,230.779,-120.5515,270.0,bottom
C35,168.1936,-120.819,0.0,bottom
C36,182.6716,-122.597,180.0,bottom
C37,182.6716,-124.121,180.0,bottom
C38,212.5472,-125.5522,270.0,bottom
C39,168.1936,-126.915,0.0,bottom
C4,189.5296,-109.389,180.0,top
C40,182.697,-128.7184,180.0,bottom
C41,205.359,-130.556,90.0,bottom
C42,201.2644,-132.3196,180.0,bottom
C43,194.6096,-135.043,180.0,bottom
C44,189.5296,-135.043,0.0,bottom
C45,174.5488,-135.043368,0.0,bottom
C46,215.8492,-135.6614,180.0,bottom
C47,201.2644,-136.1296,0.0,bottom
C48,238.9124,-137.7188,0.0,bottom
C49,194.6096,-138.599,180.0,bottom
C5,194.6096,-109.389,0.0,top
C50,189.5296,-138.599,0.0,bottom
C51,201.2644,-140.9556,0.0,bottom
C52,174.5488,-141.139368,0.0,bottom
C53,231.5972,-141.3343,270.0,bottom
C54,174.5488,-143.679368,0.0,bottom
C55,199.644,-147.32,270.0,bottom
C56,198.12,-147.32,270.0,bottom
C6,174.5488,-135.043368,180.0,top
C7,189.5296,-135.043,180.0,top
C8,194.6096,-135.043,0.0,top
C9,189.5296,-138.599,180.0,top
D1,168.1734,-138.9888,270.0,top
D2,179.1208,-150.53564,0.0,top
D3,184.2008,-150.53564,0.0,top
D4,235.0008,-150.53564,0.0,top
D5,240.0808,-150.53564,0.0,top
D6,182.6716,-119.549,180.0,bottom
D7,182.697,-127.1944,180.0,bottom
D8,168.1936,-129.963,180.0,bottom
D9,243.459,-141.351,180.0,bottom
H1,159.983,-78.49,0.0,top
H2,251.983,-78.49,0.0,top
H3,263.96668,-85.979,0.0,top
H4,263.96668,-135.8646,0.0,top
H5,159.983,-136.49,0.0,top
H6,251.983,-136.49,0.0,top
J1,178.180322,-79.177324,180.0,top
J10,165.735,-148.701,180.0,top
J11,198.882,-149.929,0.0,top
J2,228.065922,-79.177324,180.0,top
J3,203.123122,-84.739924,90.0,top
J4,188.4552,-91.326,90.0,top
J5,262.91668,-110.9218,0.0,top
J6,272.51668,-110.9218,0.0,top
J7,238.5503,-97.9114,270.0,top
J8,245.499337,-119.709649,0.0,top
J9,249.1486,-146.9328,270.0,top
L1,197.7592,-122.2414,90.0,top
L2,226.032111,-96.8248,180.0,bottom
L3,201.2644,-134.0976,180.0,bottom
LOGO1,216.662,-107.315,0.0,top
LOGO2,267.589,-125.603,90.0,bottom
LP1,179.1208,-150.53564,0.0,top
LP2,184.2008,-150.53564,0.0,top
LP3,235.0008,-150.53564,0.0,top
LP4,240.0808,-150.53564,0.0,top
Q1,196.596,-96.52,0.0,bottom
Q2,233.067911,-100.6489,0.0,bottom
Q3,191.8156,-113.961,180.0,bottom
Q4,192.6996,-119.407,0.0,bottom
Q5,226.4644,-120.6031,90.0,bottom
Q6,192.6996,-124.883,0.0,bottom
Q7,226.4644,-124.9211,90.0,bottom
Q8,191.8156,-130.344,180.0,bottom
Q9,180.213,-137.099,270.0,bottom
R1,226.7404,-108.4611,180.0,bottom
R10,182.6716,-118.025,180.0,bottom
R11,233.553,-120.5515,270.0,bottom
R12,229.255,-120.5515,270.0,bottom
R13,182.6716,-121.073,180.0,bottom
R14,187.3046,-122.216,90.0,bottom
R15,168.1936,-122.343,0.0,bottom
R16,168.1936,-123.867,0.0,bottom
R17,168.1936,-125.391,180.0,bottom
R18,182.697,-125.6704,180.0,bottom
R19,174.5436,-128.439,180.0,bottom
R2,226.7404,-109.9851,180.0,bottom
R20,168.1936,-128.439,180.0,bottom
R21,174.5436,-129.963,0.0,bottom
R22,182.697,-130.2424,180.0,bottom
R23,168.1936,-132.249,0.0,bottom
R24,201.2644,-139.4316,180.0,bottom
R25,201.2644,-142.4796,180.0,bottom
R3,168.1936,-110.151,180.0,bottom
R4,226.7404,-111.5091,180.0,bottom
R5,168.1936,-111.675,0.0,bottom
R6,168.1936,-113.199,180.0,bottom
R7,182.6716,-113.453,0.0,bottom
R8,182.6716,-114.977,180.0,bottom
R9,226.4644,-115.2691,0.0,bottom
SW1,215.392,-149.320762,0.0,top
SW2,226.06,-149.371562,0.0,top
U1,189.4841,-98.298,0.0,bottom
U2,226.717911,-100.7364,180.0,bottom
U3,234.061,-113.284,90.0,bottom
U4,175.5596,-121.453,90.0,bottom
U5,208.9912,-128.0922,0.0,bottom
U6,208.986,-137.933,270.0,bottom
U7,174.5488,-138.472368,0.0,bottom
U8,236.347,-141.351,180.0,bottom
