"Item","QUANTITY","Reference","Value","MFG","MFG P/N","DIST","DIST P/N"
"1","1","J77","RSL","MOLEX","0705410036","Digikey","WM14049-ND"
"2","1","J84","RR_RSL","Sullins Connector Solutions","PPTC021LFBN-RC","Digikey","S7000-ND"
"3","13","J1-J6,J41-J43,J57-J59,J78","AIN0,AIN1,AIN2,DIO0,DIO1,DIO2,DIO3,DIO4,DIO5,PWM0,PWM1,PWM2,RS232","Molex","0705410037","Digikey","WM20415-ND"
"4","15","J15-J20,J24,J53-J55,J67-J69,J76,J85","RR_AIN0,RR_AIN1,RR_AIN2,RR_DIO0,RR_DIO1,RR_DIO2,RR_DIO3,RR_DIO4,RR_DIO5,RR_DIO9,RR_PWM0,RR_PWM1,RR_PWM2,RR_PWM9,RR_RS-232","Sullins Connector Solutions","PPTC031LFBN-RC","Digikey","S7001-ND"
