Designator,Mid X,Mid Y,Rotation,Layer
A1,193.39,-129.485,0.0,top
C1,210.1975,-129.69,0.0,top
C2,224.79,-133.223,270.0,top
C3,213.4362,-133.8326,90.0,top
C4,220.726,-139.3698,180.0,top
C5,217.7034,-143.4338,90.0,top
D1,220.6131,-126.0602,90.0,top
J1,211.33,-110.9145,90.0,top
J2,221.0,-110.868,90.0,top
J3,172.466,-129.413,0.0,top
R1,210.1975,-127.69,180.0,top
U1,210.2612,-134.1628,180.0,top
U2,220.6975,-133.69,90.0,top
U3,211.6975,-141.69,270.0,top
