### Footprint positions - created on 2026-06-14T21:12:44 ###
### Printed by KiCad version 10.0.3-10.0.3~ubuntu26.04.1
## Unit = inches, Angle = deg.
## Side : top
# Ref     Val                          Package                                                       PosX       PosY       Rot  Side
D8        STAT                         LED_1206_3216Metric                                         8.0010    -5.5690  -90.0000  top
D9        WORD                         LED_1206_3216Metric                                         8.2020    -5.5690  -90.0000  top
H1        MountingHole                 MountingHole_2.5mm                                          6.2985    -3.0902    0.0000  top
H2        MountingHole                 MountingHole_2.5mm                                          6.6485    -3.0902    0.0000  top
H3        MountingHole                 MountingHole_2.5mm                                          9.9206    -3.0902    0.0000  top
H4        M3.7_MountingHole            MountingHole_3.7mm                                         10.3334    -3.3850    0.0000  top
H5        MountingHole                 MountingHole_2.5mm                                          8.6600    -3.9450    0.0000  top
H6        M3.7_MountingHole            MountingHole_3.7mm                                         10.3334    -5.3490    0.0000  top
H7        MountingHole                 MountingHole_2.5mm                                          6.2985    -5.3736    0.0000  top
H8        MountingHole                 MountingHole_2.5mm                                          9.9206    -5.3736    0.0000  top
H9        MountingHole                 MountingHole_2.5mm                                          8.9450    -5.5700    0.0000  top
J1        Terminal                     Keystone-7774                                               7.0150    -2.8922  180.0000  top
J2        Terminal                     Keystone-7774                                               8.9790    -2.8922  180.0000  top
J3        NX_CONTROL_&_UART            PinHeader_1x15_P2.54mm_Horizontal                           7.2970    -3.3362   90.0000  top
J4        15V                          Molex_Micro-Fit_3.0_43650-0200_1x02_P3.00mm_Horizontal      7.5142    -3.6546   90.0000  top
J5        NX_CONTROL_&_UART            PinSocket_1x15_P2.54mm_Vertical                            10.2921    -3.6670    0.0000  top
J6        NX_CONTROL_&_UART            PinSocket_1x15_P2.54mm_Vertical                            10.6700    -3.6670    0.0000  top
J7        USB1                         Molex-PicoLatch-5040500491                                  9.3917    -3.8548  -90.0000  top
J8        SWD                          PinHeader_1x05_P2.54mm_Horizontal                           9.6624    -4.2650    0.0000  top
J9        CAN1                         Molex-70555-0001                                            7.1090    -5.5987  -90.0000  top
J10       POWER                        Molex_Micro-Fit_3.0_43650-0200_1x02_P3.00mm_Horizontal      6.5841    -5.7597  180.0000  top
J11       USB_C_Receptacle_USB2.0_14P  GCT-USB-C-USB4110-GF-A                                      9.7300    -5.9027    0.0000  top
L1        2.2uH-41mOhm-20%             KOHER-MDA4020-2R2M                                          9.1720    -3.5730  180.0000  top
L2        2.2uH-19A-5.1mohm-20%        Koher-MDA1050                                               7.5200    -4.0200    0.0000  top
L3        HZ0805E601R-10               L_0805_2012Metric                                           9.7000    -5.3980  180.0000  top
LOGO1     SPACE_COOKIES_LOGO           SPACE_COOKIES_LOGO_15mm                                     8.7750    -5.1340    0.0000  top
LP1       ~                            Bivar-RLP4-200-500                                          7.9009    -5.5689    0.0000  top
Q1        SI2301CDS-T1-GE3             SOT-23                                                      9.4690    -3.5600    0.0000  top
Q2        CSD19534Q5A                  TI-SON5x6                                                   8.0926    -3.9300    0.0000  top
Q3        CSD19534Q5A                  TI-SON5x6                                                   7.4150    -4.3752  -90.0000  top
Q4        CSD17578Q5A                  TI-SON5x6                                                   7.6306    -4.3752  -90.0000  top
Q5        CSD19534Q5A                  TI-SON5x6                                                   7.2000    -4.4100   90.0000  top
Q6        CSD17578Q5A                  TI-SON5x6                                                   7.8450    -4.4100   90.0000  top
Q7        SS8050                       SOT-23                                                      8.9880    -4.5499  180.0000  top
Q8        SI2301CDS-T1-GE3             SOT-23                                                      8.9880    -4.6899    0.0000  top
Q9        CSD19534Q5A                  TI-SON5x6                                                   6.4172    -4.7747  -90.0000  top
R1        13K-1%-0603                  R_0603_1608Metric                                           8.9100    -4.2708  180.0000  top
R2        13K-1%-0603                  R_0603_1608Metric                                           9.2660    -4.5390   90.0000  top
R3        1K-1%-0603                   R_0603_1608Metric                                           9.3260    -4.5390   90.0000  top
R4        1K-1%-0603                   R_0603_1608Metric                                           9.3860    -4.5390   90.0000  top
R5        10mOhm-3W-1%-2512            R_2512_6332Metric                                           7.5200    -4.5876    0.0000  top
R6        93.1k-1%-0603                R_0603_1608Metric                                           8.8680    -4.6899   90.0000  top
R7        0R-1%-0603                   R_0603_1608Metric                                           7.2040    -4.7690   90.0000  top
R8        0R-1%-0603                   R_0603_1608Metric                                           7.3840    -4.7690   90.0000  top
R9        0R-1%-0603                   R_0603_1608Metric                                           7.5650    -4.7700   90.0000  top
R10       0R-1%-0603                   R_0603_1608Metric                                           7.6850    -4.7700   90.0000  top
R11       1M-1%-0603                   R_0603_1608Metric                                           8.9280    -4.8400  -90.0000  top
R12       100R-1%-0603                 R_0603_1608Metric                                           7.8840    -4.8770    0.0000  top
R13       100R-1%-0603                 R_0603_1608Metric                                           7.8840    -4.9370  180.0000  top
R14       249K-1%-0603                 R_0603_1608Metric                                           7.2150    -5.0900  -90.0000  top
R15       93.1k-1%-0603                R_0603_1608Metric                                           7.2750    -5.0900   90.0000  top
R16       2K-1%-0603                   R_0603_1608Metric                                           7.1250    -5.3400  -90.0000  top
R17       10R0-1%-0603                 R_0603_1608Metric                                           7.2750    -5.3400   90.0000  top
R18       2K-1%-0603                   R_0603_1608Metric                                           7.3950    -5.3400   90.0000  top
R19       205K-1%-0603                 R_0603_1608Metric                                           7.4550    -5.3400  -90.0000  top
R20       13K-1%-0603                  R_0603_1608Metric                                           7.5150    -5.3400  -90.0000  top
