"Item","QUANTITY","Reference","Value","MFG","MFG P/N","DIST","DIST P/N"
"1","1","J1","NX CONTROL & UART","Sullins Connector Solutions","PPTC181LFBN-RC","Digikey","S7016-ND"
"2","1","J2","NX-BUTTON","","","",""
